album_name,song_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lover,False God,2019-08-23,78,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4
Lover,You Need To Calm Down,2019-08-23,85,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4
Lover,Afterglow,2019-08-23,81,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,223293,4
Lover,ME! (feat. Brendon Urie of Panic! At The Disco),2019-08-23,81,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4
Lover,It’s Nice To Have A Friend,2019-08-23,72,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,4
Lover,Daylight,2019-08-23,84,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,4
folklore (deluxe version),the 1,2020-08-18,74,0.78,0.361,0,-6.942,1,0.048,0.75,7.14e-06,0.108,0.163,139.902,210240,4
folklore (deluxe version),cardigan,2020-08-18,74,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,239560,4
folklore (deluxe version),the last great american dynasty,2020-08-18,73,0.688,0.653,7,-8.558,1,0.0403,0.481,0.00414,0.106,0.701,147.991,231000,4
folklore (deluxe version),exile (feat. Bon Iver),2020-08-18,74,0.31,0.374,6,-8.464,1,0.0275,0.761,2.46e-05,0.11,0.16,75.938,285640,4
folklore (deluxe version),my tears ricochet,2020-08-18,74,0.456,0.265,0,-10.663,1,0.0328,0.814,0.0,0.0679,0.112,129.947,255893,4
folklore (deluxe version),mirrorball,2020-08-18,72,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-06,0.0604,0.347,110.137,208973,4
folklore (deluxe version),seven,2020-08-18,72,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-05,0.0902,0.374,94.955,208907,4
folklore (deluxe version),august,2020-08-18,73,0.387,0.634,5,-9.222,1,0.0363,0.553,6.93e-05,0.0931,0.42,89.567,261920,4
folklore (deluxe version),this is me trying,2020-08-18,72,0.511,0.478,9,-9.837,1,0.0322,0.312,2.3e-05,0.147,0.408,135.882,195107,4
folklore (deluxe version),illicit affairs,2020-08-18,73,0.529,0.304,10,-10.567,1,0.0356,0.862,0.0,0.108,0.44,119.58,190893,4
folklore (deluxe version),invisible string,2020-08-18,72,0.651,0.459,4,-11.128,0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,252880,4
folklore (deluxe version),mad woman,2020-08-18,70,0.593,0.7,3,-9.016,1,0.0492,0.67,6.77e-06,0.116,0.451,141.898,237267,4
folklore (deluxe version),epiphany,2020-08-18,69,0.317,0.254,1,-13.679,1,0.0286,0.727,0.000326,0.0867,0.103,93.933,289747,4
folklore (deluxe version),betty,2020-08-18,71,0.595,0.376,0,-8.767,1,0.0256,0.589,0.0,0.0989,0.476,95.946,294520,4
folklore (deluxe version),peace,2020-08-18,70,0.644,0.284,5,-12.879,1,0.0821,0.916,1.5e-05,0.0909,0.328,150.072,234000,4
folklore (deluxe version),hoax,2020-08-18,69,0.676,0.178,8,-15.01,1,0.0394,0.964,7.9e-06,0.135,0.404,118.84,220040,4
folklore (deluxe version),the lakes - bonus track,2020-08-18,73,0.313,0.258,2,-11.532,1,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,211813,4
evermore,willow,2020-12-11,84,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707,4
evermore,champagne problems,2020-12-11,83,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4
evermore,gold rush,2020-12-11,74,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4
evermore,‘tis the damn season,2020-12-11,76,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,229840,4
evermore,tolerate it,2020-12-11,80,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440,5
evermore,"no body, no crime (feat. HAIM)",2020-12-11,72,0.546,0.613,7,-7.589,0,0.0264,0.418,0.0,0.103,0.535,79.015,215627,4
evermore,happiness,2020-12-11,70,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079,315147,4
evermore,dorothea,2020-12-11,68,0.605,0.488,4,-8.322,1,0.0264,0.696,0.0,0.129,0.354,119.966,225880,4
evermore,coney island (feat. The National),2020-12-11,68,0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,4
evermore,ivy,2020-12-11,73,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440,4
evermore,cowboy like me,2020-12-11,72,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967,275040,4
evermore,long story short,2020-12-11,68,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,4
evermore,marjorie,2020-12-11,75,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103,257773,4
evermore,closure,2020-12-11,66,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653,5
evermore,evermore (feat. Bon Iver),2020-12-11,69,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,304107,5
evermore (deluxe version),right where you left me - bonus track,2021-01-07,82,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,245027,4
evermore (deluxe version),it’s time to go - bonus track,2021-01-07,73,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923,254640,4
Hannah Montana The Movie,Crazier,2009-01-01,67,0.452,0.544,4,-5.423,1,0.0277,0.0631,5.33e-06,0.104,0.158,133.042,191947,3
Two Lanes Of Freedom,Highway Don't Care,2013-01-01,68,0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061,276880,4
